No.,File Name,centroid1,centroid23,skew1,skew23,slope1,slope23,spread1,spread23,variance1,variance23
102,Laselva_exswamp_2011_T3_EXPSWAMP_20110821_204500,8903.2957,8878.81,0.004,0.0041,-1.0124,-1.0242,5.8174,5.3625,26303536.3636,26267150
103,Laselva_exswamp_2011_T3_EXPSWAMP_20110823_180006,5977.2477,5891.35,0.0267,0.0266,-2.4229,-2.4643,8.5615,8.0339,33136602.2727,32823900
104,Laselva_exswamp_2011_T3_EXPSWAMP_20110827_194501,8162.2325,8199.095,0.0049,0.0047,-1.3696,-1.3519,4.1452,3.8263,30871859.0909,30793650
105,Laselva_exswamp_2011_T3_EXPSWAMP_20110828_184503,6662.3718,6700.44,0.0154,0.0149,-2.0926,-2.0743,1.2021,1.1792,20218865.9091,20117750
106,Laselva_exswamp_2011_T3_EXPSWAMP_20110828_203004,7112.5659,7105.23,0.0139,0.0141,-1.8756,-1.8792,2.5538,2.429,23901947.7273,23931550
107,Laselva_exswamp_2011_T3_EXPSWAMP_20110831_183000,6986.6941,6951.165,0.0118,0.0115,-1.9363,-1.9534,0.6803,0.3945,20185968.1818,19542250
108,Laselva_exswamp_2011_T3_EXPSWAMP_20110904_180010,5618.4073,5731.445,0.0151,0.015,-2.5959,-2.5414,0.4496,0.3027,21849893.1818,21323900
109,Laselva_exswamp_2011_T3_EXPSWAMP_20110926_194502,8484.6786,8447.485,0.0123,0.0122,-1.2142,-1.2321,6.7301,5.765,22161918.1818,22175950
110,Laselva_exswamp_2011_T3_EXPSWAMP_20110929_190000,8354.1611,8392.065,0.0076,0.0072,-1.2771,-1.2588,3.0574,2.9325,23847063.6364,24168050
111,Laselva_exswamp_2011_T4_015087_20150119_013000,5022.7425,5000.765,0.0699,0.0654,-2.883,-2.8936,1.6283,1.5964,10599471.8182,10473400
112,Laselva_exswamp_2011_T4_EXPSWAMP_20110811_004516,7137.1723,7124.585,0.0106,0.0097,-1.8638,-1.8698,1.325,0.7974,24816565.9091,24649500
113,Laselva_exswamp_2011_T4_EXPSWAMP_20110811_230019,7380.0218,7366.4,0.0088,0.0085,-1.7467,-1.7533,1.2765,0.9272,25500906.8182,25512800
114,Laselva_exswamp_2011_T4_EXPSWAMP_20110815_004500,6827.4948,6848.145,0.0076,0.0075,-2.013,-2.0031,0.4157,0.3843,24547836.3636,24585950
115,Laselva_exswamp_2011_T4_EXPSWAMP_20110820_010000,7041.5623,7013.335,0.007,0.0068,-1.9099,-1.9235,0.3509,0.264,24811829.5455,24316050
116,Laselva_exswamp_2011_T4_EXPSWAMP_20110824_010007,8501.8693,7354.005,0.0038,0.0095,-1.2059,-1.7592,27.0933,0.7061,22349202.2727,22122550
117,Laselva_exswamp_2011_T4_EXPSWAMP_20110904_013007,6883.345,6821.005,0.0119,0.0118,-1.9861,-2.0162,1.8226,1.1717,24746379.5455,24439700
118,Laselva_exswamp_2011_T4_EXPSWAMP_20110922_004500,7195.0005,7038.49,0.0063,0.0064,-1.8359,-1.9113,0.7507,0.4473,26040968.1818,25265950
119,Laselva_exswamp_2011_T4_EXPSWAMP_20110923_011500,6978.298,6957.63,0.0077,0.0077,-1.9403,-1.9503,0.3767,0.3651,23687775,23476850
120,Laselva_exswamp_2011_T4_EXPSWAMP_20110925_231500,7548.3648,7601.42,0.0119,0.0116,-1.6655,-1.64,1.9467,1.8749,22155695.4545,21620200
121,Wells_PilgerPoint_U_T1_015100_20140505_073000,4934.8355,4901.375,0.009,0.0081,-2.9254,-2.9415,1.6031,1.3464,37602786.3636,38162100
122,Wells_PilgerPoint_U_T1_015100_20140530_080000,3645.2116,3632.665,0.0244,0.0228,-3.5471,-3.5531,1.4169,1.1909,27389634.0909,27391850
123,Wells_PilgerPoint_U_T1_015100_20140531_060000,6108.9759,6007.215,0.0047,0.0049,-2.3594,-2.4085,1.4879,1.33,41271218.1818,41613750
124,Wells_PilgerPoint_U_T1_015100_20140625_083000,3535.6009,3618.825,0.0219,0.0178,-3.5999,-3.5598,2.1352,1.9824,28641047.7273,29412650
125,Wells_PilgerPoint_U_T1_015100_20140812_080000,6088.0105,6052.895,0.0047,0.0042,-2.3695,-2.3864,1.7809,1.5038,38301465.9091,39450300
126,Wells_PilgerPoint_U_T1_015100_20140819_073000,4467.323,4255.99,0.0113,0.0113,-3.1508,-3.2527,1.6474,1.5424,36711590.9091,36654050
127,Wells_PilgerPoint_U_T1_015100_20140827_073000,2208.9775,2230.63,0.0505,0.0508,-4.2394,-4.229,2.4574,2.0617,20696113.6364,20470350
128,Wells_PilgerPoint_U_T1_015100_20140901_073000,4098.6964,4051.805,0.0195,0.0194,-3.3285,-3.3511,1.9285,1.8486,26466338.6364,26469000
129,Wells_PilgerPoint_U_T1_015100_20140911_083000,3992.0175,4144.62,0.0227,0.0205,-3.3799,-3.3063,2.5305,2.3589,26007213.6364,26378100
130,Wells_PilgerPoint_U_T1_015100_20140918_073000,3942.1727,4046.595,0.0162,0.0142,-3.4039,-3.3536,1.3968,1.2489,34593920.4545,35970600
131,Wells_PilgerPoint_U_T1_015100_20141001_070000,5123.2714,5169.905,0.0088,0.0074,-2.8346,-2.8121,1.4129,1.2957,38104100,38982100
132,Wells_PilgerPoint_U_T1_015100_20141001_083000,5331.8891,5244.915,0.0078,0.0074,-2.734,-2.7759,1.806,1.7142,37342161.3636,37542450
133,Wells_PilgerPoint_U_T1_015100_20141009_073000,4067.7189,3970.02,0.0168,0.015,-3.3434,-3.3905,1.3377,1.1886,34361500,34607100
134,Wells_PilgerPoint_U_T1_015100_20141010_070000,4743.8423,4862.885,0.0107,0.0092,-3.0175,-2.9601,1.0904,0.973,40222397.7273,41722250
135,Wells_PilgerPoint_U_T1_015100_20141013_070000,2994.1652,3008.035,0.0337,0.0296,-3.8609,-3.8542,1.1041,0.994,27745156.8182,28076350
136,Wells_PilgerPoint_U_T1_015100_20141014_063000,3036.845,2992.015,0.0317,0.0295,-3.8403,-3.862,1.6844,1.6695,26170120.4545,26522200
137,Wells_PilgerPoint_U_T1_015100_20141101_080000,4142.5573,4186.06,0.0205,0.0167,-3.3073,-3.2864,2.27,1.6859,31815304.5455,32099550
138,Wells_PilgerPoint_U_T1_015100_20141103_083000,3389.1034,3441.89,0.0273,0.0225,-3.6705,-3.6451,1.1154,1.0306,30815088.6364,31638950
139,Wells_PilgerPoint_U_T2_015100_20140505_120000,3174.3568,3128.595,0.0301,0.0201,-3.7741,-3.7961,2.049,1.8958,28146381.8182,29165450
140,Wells_PilgerPoint_U_T2_015100_20140507_123000,3633.5852,3613.135,0.0191,0.0169,-3.5527,-3.5625,2.7582,2.5732,29416220.4545,30205600
